<TM-595>	Dipartimento di architettura e design
<TM-596>	Scuola di specializzazione in beni architettonici e del paesaggio
<TM-597>	Avvertimenti della lingua sopra 'l Decamerone
<TM-598>	Bluenext <s.r.l.>
<TM-599>	Gerolamo Calca
<TM-600>	Eleonora Levi
<TM-601>	Giorgio Tedeschi
<TM-602>	Viesi <ditta>
<TM-603>	Alessandro Ceva
<TM-604>	Salvatore Astore
<TM-605>	Carlo Virando
<TM-606>	Confraternita di Santa Marta <Arona>
<TM-607>	Abbadia di Loreto <Lanzo Torinese>
<TM-608>	Paolo Taverna
<TM-609>	Fiemme Tremila <Predazzo>
<TM-610>	Domenico Pacotti
<TM-611>	Redazioni di testi
<TM-612>	Louis Des Ambrois de Nevache
<TM-613>	Petrolifera italo-rumena
<TM-614>	Giovanni Battista Trona
<TM-615>	Felice Carbonera
<TM-616>	Associazione Parole ritrovate trentine
<TM-617>	Vittorio Baldini <tipografia>
<TM-618>	Collezione Malabotta
<TM-619>	Memoire et rapport sur Victor de l'Aveyron
<TM-620>	Sanatorio Triestino
<TM-621>	Giuseppe Grava
<TM-622>	Giulio di Savorgnan
<TM-623>	Scorciatoie e raccontini
<TM-624>	Palmira Cipriano
<TM-625>	Lauro Lach
<TM-626>	Giorgio Florian
<TM-627>	Luisa Cusina
<TM-628>	Casa del Pordenone
<TM-629>	Bruno Bertoldi
<TM-630>	Ferrovia pedemontana
<TM-631>	Bernardo Di Rizzardo
<TM-632>	Marta Fiascaris
<TM-633>	Centro di microscopie
<TM-634>	Gizey
<TM-635>	Caterina Arcuri
<TM-636>	Fendi <s.r.l.>
<TM-637>	Padiglione dell'Esprit nouveau <Expo ; Parigi>
<TM-638>	Azienda pubblica di servizi alla persona <Bologna>
<TM-639>	Summa contra hereticos
<TM-640>	Polo tecnico professionale di Fornovo di Taro
<TM-641>	Fondo D'Arzo
<TM-642>	Tramazzoni di San Giorgio <famiglia>
<TM-643>	Istituto David Chiossone
<TM-644>	R. Accademia filarmonica di Bologna
<TM-645>	Guido Cinti
<TM-646>	Platone Benedetti
<TM-647>	Centro mantovano di solidarietà Arca
<TM-648>	Sala Dantesca
<TM-649>	Fratelli Lega <tipografia>
<TM-650>	Ruggero Poletti
<TM-651>	Danza odissī
<TM-652>	Alessandro Skuk
<TM-653>	Interpretationes Vergilianae
<TM-654>	Giovanni Valbonesi
<TM-655>	Ispettorato provinciale dell'agricoltura <Savona>
<TM-656>	Kafr Kela al-Bab
<TM-657>	Fondazione Senza frontiere
<TM-658>	Servirola <San Polo d'Enza>
<TM-659>	Il carceriere di sé medesimo
<TM-660>	Gian Carlo Negretti
<TM-661>	Osservatorio per l'educazione stradale e la sicurezza
<TM-662>	Cinesi
<TM-663>	Clementina Violetta
<TM-664>	Dal Pero Bertini <famiglia>
<TM-665>	Dal Pero <famiglia>
<TM-666>	Gigliola Curiel
<TM-667>	Rocca di Monte Lucio
<TM-668>	Santuario La Cuma <Monte Rinaldo>
<TM-669>	Appennino parmense
<TM-670>	Ex Macello <Milano>
<TM-671>	Geotrans <s.r.l.>
<TM-672>	Sindacato fascista avvocati e procuratori <Bologna>
<TM-673>	Giovanni Tamburi
<TM-674>	Oreste Cagnasso
<TM-675>	Armando Dillon
<TM-676>	Collezione Alströmer
<TM-677>	Ambrogio da Massa
<TM-678>	Valle Meduna
<TM-679>	Gaiche <Piegaro>
<TM-680>	Istituto di storia politica e sociale Venanzio Gabriotti
<TM-681>	Augusto Lemmi
<TM-682>	Villa dei mosaici <Spello>
<TM-683>	Carlo Damiano
<TM-684>	Elio Messuri
<TM-685>	Grotta dei Cocci <Narni>
<TM-686>	Confraternita del santissimo Sacramento <Antria ; Magione>
<TM-687>	Cella del Corpo Santo
<TM-688>	Il San Giovinale
<TM-689>	Paolo Saracino
<TM-690>	Fondo Cesare Grassetti
<TM-691>	Augusto Roncetti
<TM-692>	Gina Sigismondi
<TM-693>	Exame das tradições phariseas conferidas com á lei escrita
<TM-694>	Museo della Scuola Paolo e Ornella Ricca
<TM-695>	Barbara Pojaghi
