<http://viaf.org/viaf/27105324>	Adam Gottlob Oehlenschläger
<http://viaf.org/viaf/67576815>	Adam Gottlob Schirach
<http://viaf.org/viaf/274149386>	Adam Grant
<http://viaf.org/viaf/7638481>	Adam Haslett
<http://viaf.org/viaf/118147724895564592161>	Adam Kiełtyk
<http://viaf.org/viaf/60767808>	Adam Koc
<http://viaf.org/viaf/100904227>	Adam Lonitzer
<http://viaf.org/viaf/102375292>	Adam Michnik
<http://viaf.org/viaf/64009368>	Adam Mickiewicz
<http://viaf.org/viaf/121582638>	Adam Parry
<http://viaf.org/viaf/39279877>	Adam Petri
<http://viaf.org/viaf/107551730>	Adam Roberts
<http://viaf.org/viaf/109178866>	Adam Roberts
<http://viaf.org/viaf/160029148>	Adam Sartorius
<http://viaf.org/viaf/59431418>	Adam Sasbout
<http://viaf.org/viaf/4936439>	Adam Schaff
<http://viaf.org/viaf/64179295>	Adam Sedgwick
<http://viaf.org/viaf/49231791>	Adam Smith
<http://viaf.org/viaf/172349085>	Adam Staden
<http://viaf.org/viaf/79188762>	Adam Thirlwell
<http://viaf.org/viaf/230142805>	Adam Tooze
<http://viaf.org/viaf/19720153>	Adam von Bartsch
<http://viaf.org/viaf/27139687>	Adam von Bodenstein
<http://viaf.org/viaf/59095135>	Adam Wandruszka
<http://viaf.org/viaf/49235159>	Adam Zagajewski
<http://viaf.org/viaf/256001685>	Adam-Troy Castro
<http://viaf.org/viaf/34552588>	Adamantios Diamantopoulos
<http://viaf.org/viaf/311229154>	Adamanzio
<http://viaf.org/viaf/9856805>	Adamanzio
<http://viaf.org/viaf/294939442>	Adamanzio da Firenze
<http://viaf.org/viaf/79068112>	Adamnano di Iona
<http://viaf.org/viaf/87516551>	Adamo Alberti
<http://viaf.org/viaf/52498198>	Adamo Boari
<http://viaf.org/viaf/84951025>	Adamo da Brema
<http://viaf.org/viaf/164152074>	Adamo Degli Occhi
<http://viaf.org/viaf/88960924>	Adamo del Petit-Pont
<http://viaf.org/viaf/40171884>	Adamo di Fulda
<http://viaf.org/viaf/139158790626238851796>	Adamo di Perseigne
<http://viaf.org/viaf/63737864>	Adamo di Perseigne
<http://viaf.org/viaf/97608392>	Adamo di San Vittore
